Name,F.year,Address,States,City,County,Type,latitude,longitude,geocode_source,geocode_input,matched_address,match_type
Montana Asian American Center,1998,"202 Brooks St., inside St. Paul's Lutheran Church, Missoula, 59801",MT,MONTANA,MISSOULA,CSO,46.861925,-113.998309,geocodio,"202 Brooks St., inside St. Paul's Lutheran Church, Missoula, 59801","202 Brooks St, Missoula, MT 59801",1
East Bay Asian Youth Center,1976,"2025 East 12th Street Oakland, CA 94606",CA,OAKLAND,ALAMEDA,CSO,37.784985,-122.240422,geocodio,"2025 East 12th Street Oakland, CA 94606","2025 E 12th St, Oakland, CA 94606",1
Asian Pacific Islander Scholarship Fund,2003,"2025 M St NW, Ste 610 Washington, District of Columbia 20036",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CSO,38.906031,-77.045753,geocodio,"2025 M St NW, Ste 610 Washington, District of Columbia 20036","2025 M St NW, Ste 610, Washington, DC 20036",1
Asian American Voter Project,1990,"205 13th st, San Francisco, CA 94103",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy,37.769825,-122.419199,geocodio,"205 13th st, San Francisco, CA 94103","205 13th St, San Francisco, CA 94103",1
Asian and Pacific Islander American Education Foundation,2014,"2102 RINGWOOD AVE,SAN JOSE, CA 95131",CA,SAN JOSE,SANTA CLARA,CSO,37.395566,-121.897171,geocodio,"2102 RINGWOOD AVE,SAN JOSE, CA 95131","2102 Ringwood Ave, San Jose, CA 95131",1
Asian American Community Alliance,2003,"2114 FRANKLIN DR, ARLINGTON , TX 76011",TX,ARLINGTON,TARRANT,Advocacy,32.767905,-97.110181,geocodio,"2114 FRANKLIN DR, ARLINGTON , TX 76011","2114 Franklin Dr, Arlington, TX 76011",1
Asian American Bone Marrow Foundation,2000,"212 Astoria Rd, Springfield, IL 62704",IL,SPRINGFIELD,SANGAMON,CSO,39.799344,-89.699498,geocodio,"212 Astoria Rd, Springfield, IL 62704","212 Astoria Rd, Springfield, IL 62704",1
Asian American Economic Development Enterprises,1977,"216 Garvey Ave # E, Monterey Park, CA 91754",CA,MONTEREY PARK,LOS ANGELES,CSO,34.062246,-118.124667,geocodio,"216 Garvey Ave # E, Monterey Park, CA 91754","216 W Garvey Ave, Ste E, Monterey Park, CA 91754",1
Asian American Recovery Services,1967,"2166 Hayes St #206, San Francisco, CA 94117",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.773482,-122.451979,geocodio,"2166 Hayes St #206, San Francisco, CA 94117","2166 Hayes St, # 206, San Francisco, CA 94117",1
Asian American Donor Program,1989,"2169 Harbor Bay Pkwy, Alameda, CA 94502",CA,ALAMEDA,ALAMEDA,CSO,37.728858,-122.247129,geocodio,"2169 Harbor Bay Pkwy, Alameda, CA 94502","2169 Harbor Bay Pw, Alameda, CA 94502",1
